date,TOA,GHI,BHI,DHI,BNI
2019-03-05 16:00:00+00:00,0,0,0,0,0
2019-03-05 16:15:00+00:00,0,0,0,0,0
2019-03-05 16:30:00+00:00,0,0,0,0,0
2019-03-05 16:45:00+00:00,0,0,0,0,0
2019-03-05 17:00:00+00:00,0,0,0,0,0
2019-03-05 17:15:00+00:00,0,0,0,0,0
2019-03-05 17:30:00+00:00,0,0,0,0,0
2019-03-05 17:45:00+00:00,0,0,0,0,0
2019-03-05 18:00:00+00:00,0,0,0,0,0
2019-03-05 18:15:00+00:00,0,0,0,0,0
2019-03-05 18:30:00+00:00,0,0,0,0,0
2019-03-05 18:45:00+00:00,0,0,0,0,0
2019-03-05 19:00:00+00:00,0,0,0,0,0
2019-03-05 19:15:00+00:00,0,0,0,0,0
2019-03-05 19:30:00+00:00,0,0,0,0,0
2019-03-05 19:45:00+00:00,0,0,0,0,0
2019-03-05 20:00:00+00:00,0,0,0,0,0
2019-03-05 20:15:00+00:00,0,0,0,0,0
2019-03-05 20:30:00+00:00,0,0,0,0,0
2019-03-05 20:45:00+00:00,0,0,0,0,0
2019-03-05 21:00:00+00:00,0,0,0,0,0
2019-03-05 21:15:00+00:00,0,0,0,0,0
2019-03-05 21:30:00+00:00,0,0,0,0,0
2019-03-05 21:45:00+00:00,0,0,0,0,0
2019-03-05 22:00:00+00:00,0,0,0,0,0
2019-03-05 22:15:00+00:00,0,0,0,0,0
2019-03-05 22:30:00+00:00,0,0,0,0,0
2019-03-05 22:45:00+00:00,1.6929,0.3892,0.0162,0.373,0.3371
2019-03-05 23:00:00+00:00,16.8017,5.1269,0.9165,4.2104,16.7927
2019-03-05 23:15:00+00:00,34.6188,13.6814,4.4617,9.2196,43.398
2019-03-05 23:30:00+00:00,52.1972,24.8207,10.9782,13.8425,72.0289
2019-03-05 23:45:00+00:00,69.4615,37.6686,19.9581,17.7105,98.9443
2019-03-06 00:00:00+00:00,86.3379,51.2842,30.3641,20.9201,121.4359
2019-03-06 00:15:00+00:00,102.754,65.0824,41.4255,23.6569,139.3461
2019-03-06 00:30:00+00:00,118.6397,78.9348,53.028,25.9069,154.575
2019-03-06 00:45:00+00:00,133.9269,92.6138,64.8792,27.7346,167.5874
2019-03-06 01:00:00+00:00,148.5502,105.948,76.7544,29.1935,178.7807
2019-03-06 01:15:00+00:00,162.4469,118.8191,88.5581,30.2611,188.65
2019-03-06 01:30:00+00:00,175.5577,131.1184,100.1653,30.9532,197.4591
2019-03-06 01:45:00+00:00,187.8264,142.7302,111.3327,31.3975,205.151
2019-03-06 02:00:00+00:00,199.2004,153.5777,121.9505,31.6271,211.8946
2019-03-06 02:15:00+00:00,209.6311,163.5953,131.9251,31.6701,217.8269
2019-03-06 02:30:00+00:00,219.074,172.7271,141.1764,31.5506,223.0595
2019-03-06 02:45:00+00:00,227.4884,180.9394,149.6497,31.2897,227.7049
2019-03-06 03:00:00+00:00,234.8385,187.8878,156.4949,31.3929,230.6754
2019-03-06 03:15:00+00:00,241.0929,193.5705,161.6695,31.901,232.1214
2019-03-06 03:30:00+00:00,246.2248,198.2204,165.8795,32.3409,233.202
2019-03-06 03:45:00+00:00,250.2122,201.8096,169.096,32.7136,233.9353
2019-03-06 04:00:00+00:00,253.0381,204.3202,171.3005,33.0197,234.3378
2019-03-06 04:15:00+00:00,254.6905,205.7394,172.4804,33.259,234.4201
2019-03-06 04:30:00+00:00,255.1623,206.0603,172.6294,33.4309,234.1875
2019-03-06 04:45:00+00:00,254.4517,205.2811,171.747,33.534,233.6397
2019-03-06 05:00:00+00:00,252.5616,203.4056,169.8391,33.5665,232.7714
2019-03-06 05:15:00+00:00,249.5002,200.4434,166.9176,33.5257,231.5723
2019-03-06 05:30:00+00:00,245.2808,196.4092,163.0008,33.4084,230.0259
2019-03-06 05:45:00+00:00,239.9214,191.3234,158.113,33.2104,228.1096
2019-03-06 06:00:00+00:00,233.4451,185.2058,152.271,32.9348,225.7723
2019-03-06 06:15:00+00:00,225.8798,178.0881,145.5127,32.5754,222.9739
2019-03-06 06:30:00+00:00,217.2577,170.0137,137.8975,32.1163,219.6857
2019-03-06 06:45:00+00:00,207.6161,161.0262,129.4781,31.5481,215.8461
2019-03-06 07:00:00+00:00,196.9962,151.1754,120.3162,30.8592,211.3779
2019-03-06 07:15:00+00:00,185.4436,140.5182,110.483,30.0352,206.185
2019-03-06 07:30:00+00:00,173.0079,129.1199,100.0612,29.0587,200.1458
2019-03-06 07:45:00+00:00,159.7424,117.0551,89.1464,27.9088,193.1047
2019-03-06 08:00:00+00:00,145.7041,104.4101,77.849,26.5612,184.8574
2019-03-06 08:15:00+00:00,130.953,91.2865,66.2986,24.9879,175.1311
2019-03-06 08:30:00+00:00,115.5526,77.8064,54.6513,23.1551,163.5551
2019-03-06 08:45:00+00:00,99.5687,64.1231,43.1036,21.0195,149.6263
2019-03-06 09:00:00+00:00,83.0701,50.528,32.0708,18.4572,133.3322
2019-03-06 09:15:00+00:00,66.1273,37.2696,21.8401,15.4295,113.8432
2019-03-06 09:30:00+00:00,48.8132,24.6476,12.7321,11.9155,89.4689
2019-03-06 09:45:00+00:00,31.2018,13.3048,5.4762,7.8287,59.163
2019-03-06 10:00:00+00:00,13.3687,4.3329,1.0463,3.2866,21.98
2019-03-06 10:15:00+00:00,0.5196,0.1199,0.0038,0.1162,0
2019-03-06 10:30:00+00:00,0,0,0,0,0
2019-03-06 10:45:00+00:00,0,0,0,0,0
2019-03-06 11:00:00+00:00,0,0,0,0,0
2019-03-06 11:15:00+00:00,0,0,0,0,0
2019-03-06 11:30:00+00:00,0,0,0,0,0
2019-03-06 11:45:00+00:00,0,0,0,0,0
2019-03-06 12:00:00+00:00,0,0,0,0,0
2019-03-06 12:15:00+00:00,0,0,0,0,0
2019-03-06 12:30:00+00:00,0,0,0,0,0
2019-03-06 12:45:00+00:00,0,0,0,0,0
2019-03-06 13:00:00+00:00,0,0,0,0,0
2019-03-06 13:15:00+00:00,0,0,0,0,0
2019-03-06 13:30:00+00:00,0,0,0,0,0
2019-03-06 13:45:00+00:00,0,0,0,0,0
2019-03-06 14:00:00+00:00,0,0,0,0,0
2019-03-06 14:15:00+00:00,0,0,0,0,0
2019-03-06 14:30:00+00:00,0,0,0,0,0
2019-03-06 14:45:00+00:00,0,0,0,0,0
2019-03-06 15:00:00+00:00,0,0,0,0,0
2019-03-06 15:15:00+00:00,0,0,0,0,0
2019-03-06 15:30:00+00:00,0,0,0,0,0
2019-03-06 16:00:00+00:00,0,0,0,0,0
