2019-03-05T00:00:00.0/2019-03-05T00:15:00.0;83.6424;34.8443;10.0627;24.7816;41.4843
2019-03-05T00:15:00.0/2019-03-05T00:30:00.0;100.1097;45.5930;15.2052;30.3878;52.4591
2019-03-05T00:30:00.0/2019-03-05T00:45:00.0;116.0520;56.8841;21.1770;35.7071;63.0843
2019-03-05T00:45:00.0/2019-03-05T01:00:00.0;131.4010;68.4480;27.7931;40.6549;73.1640
2019-03-05T01:00:00.0/2019-03-05T01:15:00.0;146.0912;80.0509;34.8685;45.1823;82.5901
2019-03-05T01:15:00.0/2019-03-05T01:30:00.0;160.0595;91.4952;42.2274;49.2678;91.3142
2019-03-05T01:30:00.0/2019-03-05T01:45:00.0;173.2462;102.6166;49.7081;52.9085;99.3259
2019-03-05T01:45:00.0/2019-03-05T02:00:00.0;185.5949;113.2776;57.1643;56.1134;106.6374
2019-03-05T02:00:00.0/2019-03-05T02:15:00.0;197.0527;123.3631;64.4647;58.8984;113.2735
2019-03-05T02:15:00.0/2019-03-05T02:30:00.0;207.5706;132.8063;71.4828;61.3235;119.2484
2019-03-05T02:30:00.0/2019-03-05T02:45:00.0;217.1035;141.5842;78.0982;63.4860;124.5692
2019-03-05T02:45:00.0/2019-03-05T03:00:00.0;225.6107;149.5468;84.2470;65.2998;129.3142
2019-03-05T03:00:00.0/2019-03-05T03:15:00.0;233.0558;155.6557;87.9894;67.6664;130.7606
2019-03-05T03:15:00.0/2019-03-05T03:30:00.0;239.4069;159.8295;89.1031;70.7264;128.9027
2019-03-05T03:30:00.0/2019-03-05T03:45:00.0;244.6369;162.9923;89.3631;73.6293;126.5144
2019-03-05T03:45:00.0/2019-03-05T04:00:00.0;248.7234;165.1217;88.7822;76.3395;123.6260
2019-03-05T04:00:00.0/2019-03-05T04:15:00.0;251.6490;166.2005;87.3804;78.8200;120.2582
2019-03-05T04:15:00.0/2019-03-05T04:30:00.0;253.4011;166.2175;85.1849;81.0326;116.4242
2019-03-05T04:30:00.0/2019-03-05T04:45:00.0;253.9724;165.2389;82.6011;82.6378;112.6368
2019-03-05T04:45:00.0/2019-03-05T05:00:00.0;253.3604;163.3899;80.3131;83.0768;109.7796
2019-03-05T05:00:00.0/2019-03-05T05:15:00.0;251.5678;160.4999;77.4030;83.0970;106.5536
2019-03-05T05:15:00.0/2019-03-05T05:30:00.0;248.6024;156.5815;73.8653;82.7163;102.8939
2019-03-05T05:30:00.0/2019-03-05T05:45:00.0;244.4769;151.6671;69.7610;81.9061;98.8136
2019-03-05T05:45:00.0/2019-03-05T06:00:00.0;239.2090;145.7985;65.1598;80.6387;94.3252
2019-03-05T06:00:00.0/2019-03-05T06:15:00.0;232.8214;139.2849;60.4785;78.8064;89.9490
2019-03-05T06:15:00.0/2019-03-05T06:30:00.0;225.3416;132.1740;55.7617;76.4123;85.6825
2019-03-05T06:30:00.0/2019-03-05T06:45:00.0;216.8015;124.2716;50.7331;73.5384;81.0215
2019-03-05T06:45:00.0/2019-03-05T07:00:00.0;207.2380;115.6595;45.4805;70.1790;75.9790
2019-03-05T07:00:00.0/2019-03-05T07:15:00.0;196.6919;106.4340;40.0991;66.3350;70.5739
2019-03-05T07:15:00.0/2019-03-05T07:30:00.0;185.2086;96.7068;34.6909;62.0160;64.8329
2019-03-05T07:30:00.0/2019-03-05T07:45:00.0;172.8373;86.6065;29.3629;57.2436;58.7937
2019-03-05T07:45:00.0/2019-03-05T08:00:00.0;159.6311;76.2794;24.2249;52.0545;52.5070
2019-03-05T08:00:00.0/2019-03-05T08:15:00.0;145.6467;65.8900;19.3861;46.5039;46.0395
2019-03-05T08:15:00.0/2019-03-05T08:30:00.0;130.9439;55.6326;14.9701;40.6625;39.5288
2019-03-05T08:30:00.0/2019-03-05T08:45:00.0;115.5859;45.7695;11.1596;34.6098;33.3650
2019-03-05T08:45:00.0/2019-03-05T09:00:00.0;99.6385;36.4020;7.8740;28.5280;27.2838
2019-03-05T09:00:00.0/2019-03-05T09:15:00.0;83.1701;27.7740;5.1827;22.5913;21.4857
2019-03-05T09:15:00.0/2019-03-05T09:30:00.0;66.2513;19.9867;3.0768;16.9099;15.9647
2019-03-05T09:30:00.0/2019-03-05T09:45:00.0;48.9547;13.0846;1.5236;11.5610;10.6235
2019-03-05T09:45:00.0/2019-03-05T10:00:00.0;31.3543;7.2173;0.5333;6.6841;5.6705
2019-03-05T10:00:00.0/2019-03-05T10:15:00.0;13.5258;2.5686;0.0733;2.4953;1.4733
2019-03-05T10:15:00.0/2019-03-05T10:30:00.0;0.5510;0.0851;0.0001;0.0850;0.0000
2019-03-05T10:30:00.0/2019-03-05T10:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T10:45:00.0/2019-03-05T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T11:00:00.0/2019-03-05T11:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T11:15:00.0/2019-03-05T11:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T11:30:00.0/2019-03-05T11:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T11:45:00.0/2019-03-05T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T12:00:00.0/2019-03-05T12:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T12:15:00.0/2019-03-05T12:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T12:30:00.0/2019-03-05T12:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T12:45:00.0/2019-03-05T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T13:00:00.0/2019-03-05T13:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T13:15:00.0/2019-03-05T13:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T13:30:00.0/2019-03-05T13:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T13:45:00.0/2019-03-05T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T14:00:00.0/2019-03-05T14:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T14:15:00.0/2019-03-05T14:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T14:30:00.0/2019-03-05T14:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T14:45:00.0/2019-03-05T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T15:00:00.0/2019-03-05T15:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T15:15:00.0/2019-03-05T15:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T15:30:00.0/2019-03-05T15:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T15:45:00.0/2019-03-05T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T16:00:00.0/2019-03-05T16:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T16:15:00.0/2019-03-05T16:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T16:30:00.0/2019-03-05T16:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T16:45:00.0/2019-03-05T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T17:00:00.0/2019-03-05T17:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T17:15:00.0/2019-03-05T17:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T17:30:00.0/2019-03-05T17:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T17:45:00.0/2019-03-05T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T18:00:00.0/2019-03-05T18:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T18:15:00.0/2019-03-05T18:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T18:30:00.0/2019-03-05T18:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T18:45:00.0/2019-03-05T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T19:00:00.0/2019-03-05T19:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T19:15:00.0/2019-03-05T19:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T19:30:00.0/2019-03-05T19:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T19:45:00.0/2019-03-05T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
