# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.1 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2019-03-04T00:00:00.0
# Date end (ISO 8601): 2019-03-12T00:00:00.0
# Latitude (positive North, ISO 19115): 38.2355
# Longitude (positive East, ISO 19115): 114.1236
# Altitude (m): 160.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2021-08-23
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2019-03-04T00:00:00.0/2019-03-04T00:15:00.0;80.9664;29.1456;6.5312;22.6144;27.8328
2019-03-04T00:15:00.0/2019-03-04T00:30:00.0;97.0284;38.2060;9.8552;28.3508;35.0974
2019-03-04T00:30:00.0/2019-03-04T00:45:00.0;112.5688;47.8180;13.7580;34.0600;42.2714
2019-03-04T00:45:00.0/2019-03-04T01:00:00.0;127.5212;57.7444;18.1096;39.6349;49.1456
2019-03-04T01:00:00.0/2019-03-04T01:15:00.0;141.8216;67.7735;22.7815;44.9920;55.6112
2019-03-04T01:15:00.0/2019-03-04T01:30:00.0;155.4087;77.7176;27.6450;50.0726;61.5990
2019-03-04T01:30:00.0/2019-03-04T01:45:00.0;168.2245;87.4142;32.5766;54.8376;67.0699
2019-03-04T01:45:00.0/2019-03-04T02:00:00.0;180.2140;96.7244;37.4619;59.2625;72.0058
2019-03-04T02:00:00.0/2019-03-04T02:15:00.0;191.3259;105.5294;42.1968;63.3326;76.4032
2019-03-04T02:15:00.0/2019-03-04T02:30:00.0;201.5128;113.7278;46.6884;67.0394;80.2677
2019-03-04T02:30:00.0/2019-03-04T02:45:00.0;210.7309;121.2329;50.8550;70.3779;83.6104
2019-03-04T02:45:00.0/2019-03-04T03:00:00.0;218.9409;127.9709;54.6255;73.3454;86.4448
2019-03-04T03:00:00.0/2019-03-04T03:15:00.0;226.1077;133.7011;57.6250;76.0762;88.3056
2019-03-04T03:15:00.0/2019-03-04T03:30:00.0;232.2005;138.3623;59.7627;78.5997;89.1796
2019-03-04T03:30:00.0/2019-03-04T03:45:00.0;237.1934;142.0894;61.3036;80.7858;89.5540
2019-03-04T03:45:00.0/2019-03-04T04:00:00.0;241.0650;144.8536;62.2320;82.6216;89.4503
2019-03-04T04:00:00.0/2019-03-04T04:15:00.0;243.7988;146.6340;62.5415;84.0925;88.8870
2019-03-04T04:15:00.0/2019-03-04T04:30:00.0;245.3830;147.4174;62.2349;85.1824;87.8797
2019-03-04T04:30:00.0/2019-03-04T04:45:00.0;245.8110;147.1984;61.3241;85.8742;86.4418
2019-03-04T04:45:00.0/2019-03-04T05:00:00.0;245.0811;145.9793;59.8297;86.1496;84.5852
2019-03-04T05:00:00.0/2019-03-04T05:15:00.0;243.1963;143.7706;57.7808;85.9897;82.3201
2019-03-04T05:15:00.0/2019-03-04T05:30:00.0;240.1648;140.5910;55.2157;85.3753;79.6565
2019-03-04T05:30:00.0/2019-03-04T05:45:00.0;235.9998;136.4682;52.1808;84.2874;76.6044
2019-03-04T05:45:00.0/2019-03-04T06:00:00.0;230.7190;131.4394;48.7313;82.7080;73.1750
2019-03-04T06:00:00.0/2019-03-04T06:15:00.0;224.3451;125.6708;45.0614;80.6094;69.5842
2019-03-04T06:15:00.0/2019-03-04T06:30:00.0;216.9056;119.2129;41.2238;77.9891;65.8378
2019-03-04T06:30:00.0/2019-03-04T06:45:00.0;208.4324;112.0101;37.1531;74.8570;61.7443
2019-03-04T06:45:00.0/2019-03-04T07:00:00.0;198.9618;104.1417;32.9296;71.2120;57.3252
2019-03-04T07:00:00.0/2019-03-04T07:15:00.0;188.5345;95.7009;28.6404;67.0605;52.6097
2019-03-04T07:15:00.0/2019-03-04T07:30:00.0;177.1951;86.8035;24.3923;62.4112;47.6671
2019-03-04T07:30:00.0/2019-03-04T07:45:00.0;164.9925;77.6400;20.4042;57.2359;42.8159
2019-03-04T07:45:00.0/2019-03-04T08:00:00.0;151.9788;68.2918;16.6274;51.6644;37.8688
2019-03-04T08:00:00.0/2019-03-04T08:15:00.0;138.2100;58.8915;13.1049;45.7866;32.8081
2019-03-04T08:15:00.0/2019-03-04T08:30:00.0;123.7450;49.6044;9.9152;39.6891;27.7102
2019-03-04T08:30:00.0/2019-03-04T08:45:00.0;108.6460;40.5996;7.1279;33.4717;22.6718
2019-03-04T08:45:00.0/2019-03-04T09:00:00.0;92.9775;32.0275;4.8094;27.2181;17.8543
2019-03-04T09:00:00.0/2019-03-04T09:15:00.0;76.8070;24.0253;2.9354;21.0900;13.1583
2019-03-04T09:15:00.0/2019-03-04T09:30:00.0;60.2036;16.8024;1.5415;15.2610;8.7756
2019-03-04T09:30:00.0/2019-03-04T09:45:00.0;43.2386;10.5587;0.6387;9.9200;5.0053
2019-03-04T09:45:00.0/2019-03-04T10:00:00.0;25.9847;5.3892;0.1625;5.2267;2.0282
2019-03-04T10:00:00.0/2019-03-04T10:15:00.0;8.4949;1.4437;0.0097;1.4340;0.2363
2019-03-04T10:15:00.0/2019-03-04T10:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T10:30:00.0/2019-03-04T10:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T10:45:00.0/2019-03-04T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T11:00:00.0/2019-03-04T11:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T11:15:00.0/2019-03-04T11:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T11:30:00.0/2019-03-04T11:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T11:45:00.0/2019-03-04T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T12:00:00.0/2019-03-04T12:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T12:15:00.0/2019-03-04T12:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T12:30:00.0/2019-03-04T12:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T12:45:00.0/2019-03-04T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T13:00:00.0/2019-03-04T13:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T13:15:00.0/2019-03-04T13:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T13:30:00.0/2019-03-04T13:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T13:45:00.0/2019-03-04T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T14:00:00.0/2019-03-04T14:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T14:15:00.0/2019-03-04T14:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T14:30:00.0/2019-03-04T14:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T14:45:00.0/2019-03-04T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T15:00:00.0/2019-03-04T15:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T15:15:00.0/2019-03-04T15:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T15:30:00.0/2019-03-04T15:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T15:45:00.0/2019-03-04T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T16:00:00.0/2019-03-04T16:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
